Date,HDFC Bank,State Bank of India (SBI),ICICI Bank,Kotak Mahindra Bank,Axis Bank,Nifty Bank Index
2021-08-30,733.7821655273438,386.6636962890625,686.4671630859375,345.3011779785156,780.188232421875,36347.2265625
2021-08-31,739.93505859375,389.72802734375,691.6614990234375,348.8519592285156,782.6261596679688,36424.1796875
2021-09-01,738.85888671875,393.24981689453125,692.4791870117188,347.44952392578125,794.965087890625,36573.875
2021-09-02,743.4910888671875,393.1126403808594,697.5291748046875,353.3675231933594,798.7463989257812,36830.87109375
2021-09-03,737.4317626953125,394.6219482421875,696.7115478515625,356.4408874511719,794.0695190429688,36760.72265625
2021-09-06,732.5889892578125,394.3017578125,693.6814575195312,352.9995422363281,796.8556518554688,36591.92578125
2021-09-07,734.2500610351562,392.5180358886719,689.5934448242188,351.0699768066406,783.969482421875,36468.375
2021-09-08,737.5955810546875,394.57623291015625,693.4890747070312,361.1156005859375,790.7857055664062,36767.7734375
2021-09-09,733.9459228515625,395.4451904296875,692.8157958984375,361.6128845214844,786.2581787109375,36682.7734375
2021-09-13,727.83984375,395.9483642578125,680.455322265625,366.029052734375,784.4669799804688,36471.375
2021-09-14,724.5645751953125,396.0855407714844,680.5032958984375,371.5391540527344,790.4872436523438,36612.625
2021-09-15,723.7457885742188,406.01055908203125,687.1404418945312,372.3249206542969,787.501953125,36851.8203125
2021-09-16,729.8985595703125,424.1683044433594,699.5010375976562,379.30712890625,798.6467895507812,37668.1640625
2021-09-17,740.2860107421875,415.38671875,692.7196655273438,399.4281921386719,803.3734741210938,37811.5078125
2021-09-20,729.851806640625,400.15618896484375,682.9561767578125,398.1352844238281,791.9299926757812,37145.265625
2021-09-21,726.1553344726562,401.3910827636719,684.7357177734375,400.0250244140625,791.4325561523438,37235.41796875
2021-09-22,717.6162719726562,401.43682861328125,676.5595092773438,394.97235107421875,784.4669799804688,36944.21875
2021-09-23,734.6010131835938,411.45330810546875,689.6895751953125,402.6209411621094,808.1497802734375,37771.26171875
2021-09-24,749.36328125,403.1748352050781,695.4129638671875,403.4365234375,794.1192626953125,37829.859375
2021-09-27,760.3822021484375,408.526123046875,702.1943969726562,404.4809265136719,793.0247192382812,38170.8046875
2021-09-28,755.6798706054688,406.9710388183594,689.8338623046875,411.41339111328125,785.3128662109375,37944.55859375
2021-09-29,745.7603759765625,420.7837219238281,682.4752197265625,403.9040222167969,778.297607421875,37742.5625
2021-09-30,746.2750244140625,414.3804931640625,674.1546630859375,398.9408874511719,762.7743530273438,37424.66796875
2021-10-01,740.5432739257812,413.14556884765625,665.9784545898438,396.563720703125,764.3665771484375,37225.46484375
2021-10-04,741.9703979492188,423.6651611328125,673.5294189453125,396.0465393066406,775.1630859375,37579.2109375
2021-10-05,746.5089111328125,425.0830383300781,670.5475463867188,394.3358154296875,778.7453002929688,37740.5625
2021-10-06,755.609619140625,418.2224426269531,663.2369995117188,389.0444030761719,775.1133422851562,37521.11328125
2021-10-07,753.5508422851562,418.8627624511719,675.4533081054688,388.3879699707031,773.2723999023438,37752.76171875
2021-10-08,749.8779296875,418.9542541503906,676.6076049804688,385.185302734375,778.0985107421875,37774.8125
2021-10-11,764.4530029296875,429.2451171875,686.1304931640625,392.9532775878906,783.2730102539062,38293.35546875
2021-10-12,762.48779296875,441.8229064941406,681.6094360351562,396.8720397949219,793.2236938476562,38521.05078125
2021-10-13,767.0731811523438,440.63372802734375,682.9080810546875,399.70672607421875,790.6862182617188,38635.30078125
2021-10-14,789.5323486328125,448.7750244140625,699.5972290039062,401.3876037597656,798.0995483398438,39340.44140625
2021-10-18,781.5313110351562,455.4984130859375,717.055908203125,400.154296875,809.294189453125,39684.33984375
2021-10-19,790.1405029296875,446.57965087890625,718.9797973632812,404.87872314453125,797.7015380859375,39540.0390625
2021-10-20,783.1923217773438,457.2821350097656,717.4406127929688,400.9201965332031,800.8359375,39517.73828125
2021-10-21,784.3387451171875,460.0721130371094,726.7230834960938,426.4420471191406,803.8212280273438,40029.734375
2021-10-22,786.4207763671875,460.0721130371094,730.3782958984375,431.9422607421875,812.6773681640625,40323.1796875
2021-10-25,775.3081665039062,463.3194580078125,809.6397094726562,428.5804443359375,840.9375,41191.91796875
2021-10-26,773.3195190429688,468.85369873046875,797.8082275390625,439.8096618652344,837.7533569335938,41237.8203125
2021-10-27,768.6640014648438,474.8910217285156,803.1949462890625,435.2940979003906,783.6211547851562,40873.875
2021-10-28,745.6434326171875,458.6085205078125,768.2776489257812,417.4407653808594,754.6148071289062,39508.48828125
2021-10-29,740.613525390625,459.3403015136719,771.5,404.0432434082031,738.3453369140625,39115.1484375
2021-11-01,751.1177978515625,471.73516845703125,773.279541015625,413.0644226074219,748.6443481445312,39763.2890625
2021-11-02,751.7962646484375,477.2236328125,770.4419555664062,413.09423828125,752.1270751953125,39937.984375
2021-11-03,739.9584350585938,482.6663818359375,756.0132446289062,405.31640625,746.9029541015625,39401.59375
2021-11-04,745.8072509765625,485.2276916503906,752.3098754882812,409.1853942871094,749.241455078125,39573.23828125
2021-11-08,748.7549438476562,478.6414794921875,750.4342041015625,421.48883056640625,747.3507690429688,39437.79296875
2021-11-09,735.65380859375,484.0385437011719,756.5904541015625,417.18218994140625,741.3802490234375,39368.34375
2021-11-10,727.6994018554688,479.6934814453125,751.1557006835938,412.9748840332031,745.6591186523438,39022.796875
2021-11-11,724.4476318359375,466.1551818847656,742.0655517578125,408.6085510253906,734.4148559570312,38559.75
2021-11-12,726.646728515625,467.7559814453125,747.0194091796875,412.7063903808594,732.4246215820312,38732.90234375
2021-11-15,728.6353149414062,463.36517333984375,743.8451538085938,417.2019958496094,729.638427734375,38701.90234375
2021-11-16,724.3071899414062,452.8913879394531,734.9473876953125,414.32757568359375,722.5734252929688,38306.65625
2021-11-17,716.2593994140625,455.6813049316406,732.3021240234375,408.4096374511719,708.8414306640625,38041.109375
2021-11-18,720.2833251953125,460.8496398925781,733.84130859375,402.71044921875,702.8709106445312,37975.80859375
2021-11-22,709.0303344726562,444.9330139160156,723.3563842773438,388.9847717285156,683.019287109375,37128.37109375
2021-11-23,709.1239624023438,451.01611328125,723.2120971679688,394.4451904296875,682.2728881835938,37272.3671875
2021-11-24,710.293701171875,451.1075744628906,731.244140625,400.1145324707031,681.7753295898438,37441.515625
2021-11-25,713.9901123046875,448.729248046875,722.4425659179688,404.8289794921875,676.55126953125,37364.31640625
2021-11-26,697.122314453125,430.3885498046875,694.6915283203125,390.7452392578125,658.4906005859375,36025.08203125
2021-11-29,702.4329223632812,425.44891357421875,691.0362548828125,401.7456970214844,647.89306640625,35976.03125
2021-11-30,698.8302001953125,421.2868347167969,687.1404418945312,390.267822265625,652.4205932617188,35694.88671875
2021-12-01,704.0237426757812,434.7793273925781,699.9820556640625,388.5670471191406,676.2526245117188,36364.4765625
2021-12-02,713.896484375,436.3344421386719,694.8839721679688,390.73529052734375,672.7698974609375,36507.82421875
2021-12-03,708.1881103515625,432.8126525878906,689.0162353515625,380.7791442871094,669.6851806640625,36196.7265625
2021-12-06,703.6261596679688,425.63189697265625,682.5233764648438,375.0104064941406,659.8339233398438,35735.484375
2021-12-07,713.8731079101562,436.0600280761719,706.6672973632812,385.3444519042969,683.6162719726562,36617.97265625
2021-12-08,727.0211181640625,449.64398193359375,724.703125,382.0224609375,693.66650390625,37284.265625
2021-12-09,714.4111328125,446.9912109375,726.2421264648438,381.2068786621094,690.5321044921875,37082.01953125
2021-12-10,712.399169921875,452.5254821777344,729.1278686523438,377.3079833984375,684.6610717773438,37105.21875
2021-12-13,707.0651245117188,446.21368408203125,725.2802124023438,372.6034240722656,700.532470703125,36924.8203125
2021-12-14,702.994384765625,446.89971923828125,729.753173828125,366.0986022949219,707.3985595703125,36893.51953125
2021-12-15,701.8480834960938,443.46942138671875,723.5968627929688,371.46954345703125,708.9906616210938,36789.125
2021-12-16,701.8948974609375,440.1306457519531,712.9197998046875,370.14666748046875,706.15478515625,36548.22265625
2021-12-17,689.23828125,427.91876220703125,700.5591430664062,356.82879638671875,685.5068359375,35618.234375
2021-12-20,667.0598754882812,410.9044494628906,682.9080810546875,346.6240234375,671.0285034179688,34439.453125
2021-12-21,674.6163940429688,407.97723388671875,692.9119262695312,345.4404296875,662.5703735351562,34607.44921875
2021-12-22,676.2072143554688,416.987548828125,704.8876953125,350.5826110839844,666.0531616210938,35029.09375
2021-12-23,675.6925048828125,422.43023681640625,703.44482421875,353.2084045410156,675.4566040039062,35190.73828125
2021-12-24,673.2594604492188,417.9937744140625,699.40478515625,347.7976379394531,664.2122192382812,34856.64453125
2021-12-27,678.8275146484375,418.9999084472656,707.9658813476562,352.78070068359375,668.8394165039062,35057.4921875
2021-12-28,683.5064697265625,421.8814392089844,707.7734375,353.06915283203125,672.1231079101562,35183.390625
2021-12-29,680.2545166015625,415.6611633300781,707.6773681640625,350.94061279296875,667.197509765625,35044.9921875
2021-12-30,683.833984375,413.19134521484375,707.6773681640625,349.1602783203125,665.5556030273438,35063.1953125
2021-12-31,692.2093505859375,421.1954040527344,711.9578247070312,357.28631591796875,675.2078247070312,35481.28515625
2022-01-03,711.0422973632812,430.6629638671875,735.57275390625,362.9258117675781,692.9201049804688,36421.4765625
2022-01-04,715.2066040039062,442.2802734375,743.4122924804688,368.5254821777344,705.6571655273438,36839.71875
2022-01-05,732.1912841796875,450.4215087890625,758.0332641601562,382.3605651855469,723.3197021484375,37695.4609375
2022-01-06,720.4470825195312,449.78125,755.1475219726562,376.34320068359375,726.7029418945312,37489.8125
2022-01-07,725.5004272460938,449.36956787109375,763.03515625,378.79986572265625,727.0014038085938,37739.1640625
2022-01-10,729.5244140625,460.7124328613281,779.8685913085938,387.4928283691406,739.1414184570312,38347.453125
2022-01-11,732.6826171875,462.81640625,779.7725219726562,385.2748107910156,739.5891723632812,38441.75390625
2022-01-12,728.3544921875,466.7497863769531,792.37353515625,389.21356201171875,743.17138671875,38727.1015625
2022-01-13,714.9492797851562,467.7559814453125,793.2874145507812,383.1960754394531,737.0517578125,38469.50390625
2022-01-14,722.9736938476562,465.01177978515625,788.7662963867188,385.5533142089844,718.1453247070312,38369.953125
2022-01-17,711.9078979492188,470.1800537109375,788.0929565429688,385.4041442871094,709.1399536132812,38215.703125
2022-01-18,715.5340576171875,463.5939025878906,791.7481689453125,386.3390808105469,721.628173828125,38209.85546875
2022-01-19,710.4807739257812,471.82659912109375,777.8004760742188,379.0783996582031,726.00634765625,38040.91015625
2022-01-20,706.0591430664062,467.8017272949219,779.3876953125,376.482421875,725.3098754882812,37850.41015625
2022-01-21,711.9547119140625,459.84344482421875,773.856689453125,376.711181640625,708.9906616210938,37573.86328125
2022-01-24,695.6016235351562,452.0223388671875,768.0372314453125,364.2088317871094,701.1295166015625,36947.12109375
